PLAYER,YEAR,TEAM,All-Star,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,
Jared Harper,2020,NYK,0,23,2,1,1,2.6,1,0,0.5,0,0,0,0,1,1,100,0,0,0,0,1,0,0,0,0,0,0,-1.5,100,123.1,-23.1,0,0,0,0,0,0,50,0,53.2,26.7,118.48,-4.2,13
Jarred Vanderbilt,2020,MIN,0,21,34,5,29,19.2,6.1,2.5,4.1,61.2,0,0.1,50,1,1.9,55.6,1.8,3.9,5.7,1.5,1,1.1,0.6,2.1,19.5,3,0,-3.5,103,109.9,-6.9,11.7,1.49,20.7,8.8,20.1,14.2,13.9,61.5,61.8,12.5,103.64,10.7,"1,397"
Jarrell Brantley,2020,UTA,0,24,10,9,1,2.8,1.1,0.4,1,40,0.3,0.7,42.9,0,0,0,0.2,0.5,0.7,0,0.1,0.1,0.1,0.4,2.4,0,0,-1.4,80.6,104.9,-24.3,0,0,0,6.5,13.2,10.1,9.1,55,55,16.2,106.12,8.2,62
Jarrett Allen,2020,CLE,0,22,35,14,21,27.9,13.5,4.9,7.3,66.9,0.1,0.2,50,3.5,4.7,74.1,3.2,6.7,9.9,1.7,1.5,0.5,1.7,1.6,32.8,16,0,-0.3,111.6,112.6,-1,9.1,1.11,13.5,11.8,23.1,17.6,12.1,67.7,71.4,16.6,100.51,15.5,"2,050"
Jarrett Culver,2020,MIN,0,22,19,4,15,19.8,7.2,2.8,6.7,42.2,0.4,1.8,22.9,1.1,1.8,60,1.6,3.2,4.7,0.8,1.2,0.6,0.4,2.1,15.9,1,0,-4.3,101.7,109.4,-7.6,6.6,0.7,8.7,7,14.6,10.7,12.5,45.3,47.8,18.5,103.47,6.3,802
Javonte Green,2020,BOS,0,27,22,11,11,15,4.8,1.8,3.2,54.9,0.3,1,31.8,0.9,1.4,66.7,0.9,1.4,2.3,0.5,0.5,0.8,0.1,1.3,10.4,0,0,-1.4,104.5,107.7,-3.3,4.4,0.83,9.4,5.8,9.6,7.6,11.3,59.9,62.4,12.1,100.98,7.5,691
Jaxson Hayes,2020,NOP,0,20,25,9,16,12.4,4.4,1.8,2.7,67.6,0,0,0,0.8,1.2,65.5,1.2,2.3,3.6,0.4,0.6,0.4,0.5,1.8,11.1,0,0,-1.7,103.9,110.3,-6.5,4.5,0.56,8.6,9.1,19.2,13.9,15.2,67.6,68.7,12.6,103.09,9,668
Jaylen Adams,2020,MIL,0,24,7,5,2,2.6,0.3,0.1,1.1,12.5,0,0.3,0,0,0,0,0,0.4,0.4,0.3,0,0,0,0.1,1.2,0,0,-1.7,69,100,-31,20,0,20,0,14.3,6.7,0,12.5,12.5,17.8,109.93,-1.7,42
Jaylen Brown,2020,BOS,1,24,33,17,16,33.8,24.7,9.2,18.7,49.5,2.3,5.9,38.8,3.9,5.1,77.2,1.1,4.5,5.6,3.9,2.8,1.1,0.5,2.9,39.2,4,0,1,112.7,111.2,1.5,19.6,1.39,14.2,3.3,13.1,8.2,10.2,55.7,59.1,29.4,100.38,13.7,"2,332"
Jaylen Nowell,2020,MIN,0,21,22,3,19,16.7,9,3.2,7.7,41.8,1.1,3.3,34.7,1.4,1.7,83.8,0.5,1.5,1.9,1,0.5,0.5,0.2,1.8,14.2,0,0,-2.9,99.5,108.3,-8.8,10.3,1.92,10.5,2.3,8.3,5.1,5.5,49.1,53.1,21.6,103.94,7.9,798
