PLAYER,YEAR,TEAM,All-Star,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,
Juancho Hernangomez,2020,MIN,0,25,17,4,13,16,5.9,2.1,5.3,40,0.9,3.1,30.2,0.8,1.1,68.4,0.8,3.6,4.4,0.6,0.4,0.4,0.1,0.8,13.1,0,0,-2,111,117.3,-6.3,5,1.43,8.7,4.5,22.1,13.2,6.1,48.9,51.3,16,102.41,8.6,580
Julius Randle,2020,NYK,1,26,37,19,18,36.7,23.2,8.3,17.2,48.3,1.9,4.6,40.8,4.8,5.9,80.5,1.4,9.6,11.1,5.5,3.2,0.8,0.2,3.1,44.7,24,1,1.5,109.4,107.1,2.3,24.8,1.71,19.5,3.8,24.4,14.4,11.4,53.7,58.7,26.9,97.19,16.7,"2,746"
Justin Holiday,2020,IND,0,31,35,16,19,32.3,11.7,4,8.7,45.9,2.5,6.1,41.4,1.2,1.4,82,0.6,3.3,4,1.7,0.8,1.2,0.4,2.2,23.1,0,0,0.2,109.8,108.9,0.9,7.1,2.14,14.6,1.9,10.4,6.2,6.8,60.6,62.8,13.3,101.72,7.6,"2,387"
Justin Jackson,2020,OKC,0,25,25,8,17,16.2,6.4,2.4,6,40.9,0.9,3.2,29.1,0.6,0.8,80,0.4,1.9,2.3,1.5,1,0.4,0,1,11.9,0,0,-1.7,100.3,105.1,-4.8,14.3,1.58,17.3,2.5,11,6.7,10.9,48.7,51,18.6,103.53,7.5,873
Justin James,2020,SAC,0,24,13,2,11,5.3,1.7,0.7,1.8,39.1,0.2,0.7,22.2,0.2,0.6,25,0.2,0.5,0.7,0.4,0.2,0.2,0.1,0.2,3.9,0,0,-0.3,102,106.7,-4.7,10,2.5,15.2,3.3,9.2,5.8,6.1,43.5,41.5,16,104.73,4.5,152
Justin Patton,2020,HOU,0,23,6,0,6,21.4,6.8,2.7,5.2,51.6,1,2.8,35.3,0.5,0.7,75,0.8,3.2,4,0.8,0.3,1.2,1.7,3.2,21.1,0,0,-5.3,99.6,110.2,-10.5,6.3,2.5,12.5,3.5,15,9,5,61.3,62.6,11.7,102.47,8.8,272
Justise Winslow,2020,MEM,0,24,6,3,3,22.3,9.5,4,10.7,37.5,0.5,2.5,20,1,1.7,60,0.8,4.3,5.2,1.5,1.7,0.5,0.7,3,19.8,0,0,2.7,105.4,100,5.4,9.5,0.9,10.2,3.3,18.4,10.6,11.4,39.8,41.7,23.5,105.31,5.4,294
Jusuf Nurkic,2020,POR,0,26,12,7,5,23.4,9.8,4.2,8.6,48.5,0.3,1,25,1.3,2.3,55.6,1.9,5.8,7.7,2.8,1.9,0.9,0.9,2.8,26.7,4,0,1.3,113.2,109.8,3.4,17.4,1.43,19.2,7.9,24.9,16.2,13.4,50,51.4,21.2,102.75,10.3,598
Juwan Morgan,2020,UTA,0,23,15,13,2,4.7,1.1,0.4,0.9,42.9,0.2,0.7,30,0.1,0.3,20,0.3,0.7,0.9,0.3,0.1,0.2,0,0.8,3.1,0,0,-2.9,89,117.5,-28.6,10,2,18.2,4.7,13,8.6,9.1,53.6,49.4,10.3,103.83,3.3,154
KZ Okpala,2020,MIA,0,21,19,11,8,10.5,2,0.7,2.1,35,0.4,1.3,33.3,0.1,0.3,33.3,0.4,1.1,1.5,0.4,0.5,0.2,0.2,1.3,5,0,0,-3.4,97.8,113.3,-15.5,5.3,0.78,11.9,4.2,11.1,7.7,15.3,45,44.6,11.6,99.78,1.6,413
Karim Mane,2020,ORL,0,20,6,2,4,9.3,1.2,0.2,1.5,11.1,0.2,0.3,50,0.7,0.7,100,0,1.7,1.7,0.2,0.5,0,0.2,0.5,3.4,0,0,-3.5,91.6,111.1,-19.5,2.5,0.33,6.7,0,19.6,8.3,20,16.7,32.5,10.1,101.38,2.1,119
Karl-Anthony Towns,2020,MIN,0,25,16,3,13,32.7,22,7.9,15.9,49.4,1.9,5,37.5,4.4,4.8,90.9,3,7.9,10.9,3.9,3.2,0.9,1.7,3.8,45.5,13,0,-2.3,110.3,114.2,-4,19.3,1.24,15.6,8.4,24.7,16.1,12.7,55.3,60.9,26.8,101.43,15.5,"1,110"
Kawhi Leonard,2020,LAC,1,29,30,20,10,34.6,26.6,9.6,18.7,51.1,2,5.2,38.7,5.5,6.3,87.3,0.9,5.3,6.3,4.9,1.9,1.5,0.5,1.6,45.6,5,0,7.9,120.6,109.9,10.7,22.8,2.52,17.3,2.9,15.4,9.3,6.9,56.4,61.9,29.5,98.04,17,"2,126"
Keita Bates-Diop,2020,SAS,0,25,13,6,7,8.2,2.6,0.8,2.4,35.5,0.4,1.1,35.7,0.5,0.6,87.5,0.4,1.1,1.5,0.5,0.1,0.5,0.1,0.4,6.7,0,0,-2.7,93,108.3,-15.4,11.3,7,16.3,4.5,12.4,8.4,2.3,43.5,49.2,14.4,102.68,9,228
Kelan Martin,2020,IND,0,25,12,6,6,4,1.5,0.6,1.7,35,0.2,0.8,22.2,0.2,0.2,100,0.1,0.9,1,0,0.3,0.3,0,0.4,3.1,0,0,0.4,100.9,95.4,5.5,0,0,0,2,22,11.9,16,40,43.1,20.3,108.21,6.6,108
Keldon Johnson,2020,SAS,0,21,29,17,12,29.1,14.1,5.2,11,47.2,1,3,32.6,2.7,3.5,78.2,1.6,5,6.7,2.2,1.4,0.8,0.5,2.3,27.7,5,0,-3.3,106.6,112,-5.4,10.9,1.54,13.5,5.1,17.1,10.9,8.8,51.6,56.1,20.2,101.58,10.1,"1,788"
Keljin Blevins,2020,POR,0,25,9,4,5,5.2,0.4,0.2,1.2,18.2,0,0.4,0,0,0,0,0,0.2,0.2,0.4,0.3,0.2,0,0.4,1.7,0,0,-1,89.7,99.1,-9.3,13.3,1.33,22.2,0,3.3,1.7,16.7,18.2,18.2,12,109,-2.3,107
Kelly Olynyk,2020,MIA,0,29,35,17,18,26.5,10.1,3.8,8.5,44.1,1.9,5.7,32.8,0.6,0.9,73.3,0.9,4.9,5.9,2.1,1.3,0.8,0.5,2.8,23,1,0,1.8,111.5,108.7,2.8,11.7,1.63,17.3,3.5,17.9,10.9,10.6,55.2,56.4,16.7,99.49,8.7,"1,925"
Kelly Oubre Jr.,2020,GSW,0,25,35,19,16,30.4,15.5,5.8,13.2,43.6,1.7,5.3,32.1,2.2,3,74,1.5,4.5,5.9,1.4,1.3,1.1,0.8,2.2,29.1,3,0,-1.8,107.2,109.3,-2.1,7,1.09,8.1,4.6,13.3,9.1,7.5,50.1,53.2,21.8,104.91,9.3,"2,316"
Kemba Walker,2020,BOS,0,30,20,10,10,30,18.5,6.2,15.9,38.8,3,8.1,36.6,3.2,3.5,91.4,0.4,3.2,3.6,4.6,2.2,1.1,0.4,1.4,31.6,0,0,0.4,111.7,111,0.6,23.8,2.07,18.9,1.3,10.7,6,9.1,48.1,53,27.5,99.3,11.7,"1,242"
Kendrick Nunn,2020,MIA,0,25,28,15,13,30,14.2,5.4,11.8,46.1,2.1,5.7,36.5,1.3,1.4,92.3,0.5,2.9,3.4,2.7,1.8,1.1,0.3,1.9,24.9,0,0,-1.4,106.8,108.9,-2.1,14.8,1.52,16.1,1.7,9.2,5.6,10.6,54.8,57.3,20.8,98.36,9.4,"1,717"
Kenrich Williams,2020,OKC,0,26,36,15,21,18.9,6.2,2.6,4.7,55.4,0.6,1.4,42,0.4,0.7,62.5,1.3,2.7,4,1.6,0.9,0.8,0.2,1.8,15.5,0,0,0,103.7,103.3,0.4,12.5,1.79,21.9,6.5,13.4,9.9,12.2,61.6,62.2,12.9,103.27,9.4,"1,463"
Kent Bazemore,2020,GSW,0,31,35,17,18,16.8,6.6,2.4,5,48,1.1,2.5,43.8,0.7,0.9,75,0.4,2.6,3,1.6,1.1,0.9,0.5,2.2,15.7,0,0,3.1,110.7,102.1,8.6,12.8,1.47,19.8,2.3,14.1,8.3,13.4,59.1,61.1,16,104.3,9,"1,275"
Kentavious Caldwell-Pope,2020,LAL,0,28,33,21,12,26.1,8.7,3,6.8,43.8,1.5,3.8,40.2,1.2,1.4,84.8,0.5,1.9,2.4,1.4,1,0.8,0.3,1.7,15.8,0,0,4.8,115.6,106.7,8.9,7,1.38,14.6,1.8,7.4,4.7,10.6,55.1,58.5,13.8,99.45,6,"1,788"
Kenyon Martin Jr.,2020,HOU,0,20,7,4,3,9.8,3.3,1.4,3.9,37,0.1,0.6,25,0.3,0.7,40,1.1,1.6,2.7,0.6,0.7,0.3,0.7,1.3,9.7,0,0,3.4,108.9,91.4,17.5,7.4,0.8,10.5,10.7,12.4,11.6,13.2,38.9,39.4,18.6,111.71,5.2,158
Kevin Durant,2020,BKN,1,32,19,12,7,35.8,29,9.9,18.9,52.4,2.6,5.9,43.4,6.6,7.6,86.9,0.4,6.9,7.3,5.3,3.5,0.7,1.4,2.3,48.6,6,0,8.4,120.8,110.6,10.2,21.9,1.49,16.9,1.1,17.3,10,11.4,59.2,65.2,30.2,103.84,16.3,"1,474"
Kevin Huerter,2020,ATL,0,22,36,16,20,32.1,12.1,4.6,10.8,42.6,2.1,5.9,36.5,0.8,0.9,82.4,0.7,2.9,3.6,3.7,1.3,1.3,0.2,2.4,25.1,3,0,-1.9,111.7,115,-3.3,16.7,2.83,22.9,2.1,9.1,5.5,8.1,52.6,54.1,16.2,99.59,7.6,"2,405"
Kevin Knox II,2020,NYK,0,21,26,13,13,15.3,5.1,1.8,4.6,39.5,1.1,2.8,38.9,0.4,0.5,78.6,0.3,1.5,1.9,0.7,0.6,0.3,0.2,1.3,9.4,0,0,-2.6,100.5,107.9,-7.4,6.7,1.06,10.8,2.1,9.4,5.7,10.2,51.3,53.1,15,99.1,5.6,816
Kevin Love,2020,CLE,0,32,2,2,0,23.2,9.5,3,9,33.3,1.5,4.5,33.3,2,2.5,80,1,5,6,2.5,1.5,0.5,0,0.5,20.5,0,0,8,108.7,97,11.8,13.2,1.67,17.9,4.2,19.2,12,10.7,41.7,47,20.2,104.54,9.7,103
Kevon Looney,2020,GSW,0,25,27,14,13,14.9,3.9,1.6,2.7,59.5,0.1,0.2,33.3,0.6,0.8,76.2,1.8,2.4,4.2,1.6,0.6,0.4,0.3,1.9,12.7,0,0,2.1,114.8,106.5,8.3,14.1,2.53,29.9,11.3,14.8,13.1,11.8,60.8,63.7,10.3,103.41,9.1,858
Khem Birch,2020,ORL,0,28,35,13,22,20.1,5.9,2.2,4.4,49.7,0.1,0.4,30.8,1.5,2,73.9,2.6,2.8,5.3,1.1,0.5,0.6,0.7,1.5,17.3,2,0,-2.6,102.3,108.9,-6.5,7.8,1.95,15.4,11,13.2,12.1,7.9,51,56.4,11.9,100.44,9,"1,472"
Khris Middleton,2020,MIL,0,29,36,22,14,33.4,20.6,7.6,15.3,49.5,2.3,5.3,43.2,3.2,3.6,88.4,0.9,5.3,6.1,5.7,2.6,1.1,0.2,2.6,37.8,7,0,4.4,117,110.3,6.8,24.2,2.19,23,2.5,14.7,8.7,10.5,57.1,61.2,23.8,102.56,13.2,"2,564"
Killian Hayes,2020,DET,0,19,7,1,6,21.1,4.6,1.9,6.7,27.7,0.7,2.9,25,0.1,0.3,50,0.1,1,1.1,3.6,2.4,0.3,0,2.1,9.7,0,0,-5.4,102.5,114.6,-12,22.7,1.47,27.8,0.6,5.2,2.7,18.9,33,33.4,18.5,102.6,-0.1,316
Killian Tillie,2020,MEM,0,23,2,2,0,10.5,1.5,0.5,2,25,0.5,1,50,0,0,0,0.5,0.5,1,0,0.5,0.5,0,2.5,3.7,0,0,-2.5,96,108.2,-12.2,0,0,0,4.2,4.2,4.2,20,37.5,37.5,9.4,113.5,-4.2,50
Kira Lewis Jr.,2020,NOP,0,19,21,8,13,13,5.2,2,5.1,38.9,0.6,1.9,33.3,0.6,1,65,0.1,0.7,0.8,1.8,0.4,0.6,0,1.2,10.4,0,0,0,110.7,110.2,0.6,19.7,4.22,23,0.7,5.6,3,5.5,44.9,47.1,19.4,101.69,5.9,577
Kostas Antetokounmpo,2020,LAL,0,23,3,2,1,6.4,1,0.3,1,33.3,0,0,0,0.3,0.7,50,0.7,2,2.7,0,1.7,0.3,0.7,1,5.5,0,0,-1,84.8,89.4,-4.6,0,0,0,8.7,23.1,16.3,55.6,33.3,38.7,17,116.55,1.4,46
Kristaps Porzingis,2020,DAL,0,25,20,11,9,30.1,20.2,7.6,16.1,46.9,2.2,6.3,34.9,2.9,3.4,83.8,1.9,6.5,8.4,1.4,1.3,0.4,1.6,3,36.8,8,0,-1.8,115.1,116.6,-1.6,7.2,1.08,6.7,6.1,21.3,13.7,6.2,53.7,57.3,26.9,100.18,12.8,"1,249"
Kyle Anderson,2020,MEM,0,27,30,15,15,27.6,13.4,4.9,10.2,47.7,1.5,4,38,2.1,2.8,76.2,0.9,5.2,6.1,3.5,1.5,1.2,0.7,1.8,30.1,2,0,0.9,107.2,105.1,2.1,18.1,2.28,21.2,3.2,18.5,10.6,9.3,55.2,58.6,19.5,102.44,12.8,"1,765"
Kyle Guy,2020,SAC,0,23,14,3,11,8.2,2.9,1,3.1,31.8,0.4,1.7,25,0.5,0.6,87.5,0.2,0.8,1,1.1,0.2,0.3,0,0.6,6.4,0,0,1.8,115,106.4,8.6,15.8,5,22.7,2.2,9.5,5.6,4.5,38.6,43.1,17.1,105.17,5.8,254
Kyle Kuzma,2020,LAL,0,25,36,24,12,25.9,11.5,4.5,10.1,44.4,1.8,4.9,36.5,0.7,1.1,63.2,2.1,4.6,6.7,1.1,1.5,0.4,0.6,1.8,22.8,9,0,1.4,105.6,103.5,2.1,6.6,0.76,8.6,7.9,17.1,12.5,11.3,53.3,54.1,19.6,99.88,9.9,"1,944"
Kyle Lowry,2020,TOR,0,34,29,11,18,34.6,18,6,13.1,45.7,2.9,7.1,40.3,3.1,3.7,85.8,0.8,4.7,5.5,7,2.8,1.2,0.2,3.2,36.5,7,2,1.8,113.8,111.7,2.2,30.2,2.49,28.8,2.3,13.8,7.9,11.6,56.6,61,21.3,101.64,12,"2,124"
Kyrie Irving,2020,BKN,1,28,26,18,8,35.5,27.2,10.3,20.3,51,2.9,7.1,41.1,3.6,4.1,88.7,1.2,3.6,4.8,6,2.3,1.1,0.6,2.8,44.7,2,0,7.8,122,112,10,25.5,2.63,19.7,3.5,9.3,6.6,7.5,58.3,61.7,28.9,102.09,14.5,"1,967"
LaMarcus Aldridge,2020,SAS,0,35,21,12,9,25.9,13.7,5.5,11.8,46.4,1.3,3.6,36,1.5,1.8,83.8,0.8,3.7,4.5,1.7,1,0.4,0.9,1.7,24.4,1,0,-2.8,108.6,114.2,-5.6,10.3,1.8,11.2,3,14.6,8.5,6.2,51.8,54.5,22.9,100.43,9.6,"1,141"
LaMelo Ball,2020,CHA,0,19,35,17,18,28.9,15.8,5.7,12.8,44.9,2,5.3,37.8,2.3,2.9,80.2,1.5,4.6,6,6.3,2.8,1.6,0.4,2.7,35.7,7,1,-0.5,110.7,112.2,-1.5,32.3,2.23,27.3,4.9,15.6,10.2,12.2,52.7,56.1,23.9,103.25,12.6,"2,180"
Lamar Stevens,2020,CLE,0,23,24,9,15,14.4,4.2,1.6,3.9,40.4,0.1,0.7,11.8,1,1.3,71.9,0.5,2.1,2.6,1,0.6,0.5,0.3,1.5,10.5,0,0,-4,97.1,110.2,-13.1,10.4,1.53,15.6,3.1,15.1,8.7,10.2,41.5,46.7,14.7,101.63,6.4,732
Landry Shamet,2020,BKN,0,24,33,21,12,19.7,7.8,2.5,6.5,38.4,1.8,4.9,35.8,1,1.2,86.8,0.2,1.7,1.8,1.1,0.8,0.5,0.2,1.3,12.7,0,0,-1,111.2,114.6,-3.4,7.9,1.42,12.5,0.8,8.2,4.7,8.8,51.9,55.2,16.9,101.81,5.8,"1,385"
Langston Galloway,2020,PHX,0,29,25,18,7,10.5,4.5,1.5,3.3,46.3,0.8,1.8,45.7,0.6,0.6,100,0.2,0.9,1,0.6,0.3,0.2,0,0.6,6.9,0,0,0.5,107.8,105.9,1.9,8.3,2.29,14.5,1.6,8.5,5.1,6.4,59.1,63.5,15.5,102.72,8.6,561
Larry Nance Jr.,2020,CLE,0,28,19,8,11,33.4,9.3,3.7,7.6,48.3,1.3,3.3,38.1,0.6,1.1,57.1,1.4,5.4,6.8,3.2,1.5,1.9,0.5,2.2,28.2,2,0,-2.2,103.5,106,-2.4,13.4,2.18,25,4.1,16.6,10.2,11.5,56.6,57.1,12.3,98.37,10.1,"1,297"
Lauri Markkanen,2020,CHI,0,23,14,5,9,30.4,19.1,6.8,13.2,51.4,2.9,7.2,39.6,2.7,3.2,84.4,0.6,5.5,6.1,0.9,1.7,0.6,0.4,2.2,29,1,0,-5.8,104.9,114.4,-9.5,4.5,0.5,5,1.9,17.8,9.8,10,62.2,65.4,22.2,105.37,12,939
LeBron James,2020,LAL,1,36,36,24,12,34.6,25.8,9.7,19.1,50.9,2.4,6.7,35.8,4,5.8,69.2,0.6,7.4,8,7.8,3.8,1.1,0.6,1.6,48.6,15,3,6.5,112,102.9,9.1,38.3,2.07,23.7,1.7,20.5,11.5,11.4,57.2,59.7,31.1,99.55,19.4,"2,582"
Lonnie Walker IV,2020,SAS,0,22,30,16,14,27.3,11.3,4.2,10.5,40.2,1.8,4.9,35.8,1.1,1.3,80,0.2,2.7,2.9,1.8,1.1,0.5,0.4,2.1,19.1,0,0,-4.4,110,117.4,-7.4,9.1,1.66,12.7,0.7,9.9,5.2,7.7,48.6,50.8,19.3,100.1,5.4,"1,705"
Lonzo Ball,2020,NOP,0,23,33,14,19,31.8,14.5,5.3,12.4,42.8,3,7.8,38.7,0.9,1.2,77.5,0.6,3.5,4.2,5.1,2,1.3,0.5,2.2,30.7,1,0,1.4,117.1,116.1,1,21.8,2.55,25.4,1.9,11.2,6.5,10,54.9,56.3,19.7,98.91,9.6,"2,169"
Lou Williams,2020,LAC,0,34,35,21,14,22.7,12.5,4.5,10.7,42.2,1.1,2.8,39.8,2.4,2.7,86.5,0.4,1.9,2.3,3.7,1.6,0.9,0.1,1,22.1,2,0,2.4,114.3,110.4,3.9,23.8,2.28,21.6,1.8,8.1,5,9.5,47.5,52.6,24.7,101.99,10.5,"1,695"
Luguentz Dort,2020,OKC,0,21,35,15,20,29.7,12.3,4.3,11,38.8,1.9,6,32.5,1.9,2.5,75,0.7,2.8,3.5,1.5,1.5,0.9,0.3,2.4,20.7,0,0,-3.3,106.9,111.6,-4.7,7.3,0.98,9.7,2.2,8.8,5.6,9.9,47.7,51.1,20,99.99,5.4,"2,161"
Luka Doncic,2020,DAL,1,22,32,17,15,35.2,28.6,10,20.9,47.8,2.7,7.4,35.7,6,8,75.7,0.8,7.6,8.4,9,4.2,1,0.7,2,53.1,16,7,0.8,115.8,114.1,1.7,43.4,2.16,24.1,2.4,20.9,11.8,11.1,54.1,58.7,34.9,100.2,18.7,"2,343"
Luka Samanic,2020,SAS,0,21,9,4,5,11,4.7,1.7,3.8,44.1,0.9,2.2,40,0.4,0.9,50,0.7,2.4,3.1,0.1,0.7,0.3,0.2,1.1,9.6,0,0,4.1,114.6,95.2,19.3,1.4,0.17,2.2,5.6,20,12.9,13.3,55.9,56,18.5,100.59,8.9,206
Luke Kennard,2020,LAC,0,24,34,23,11,20.1,7.4,2.8,6,46.3,1.5,3.4,45.6,0.4,0.4,86.7,0.2,2.4,2.6,1.7,0.9,0.3,0.2,1.6,13.8,0,0,-0.1,114,113.5,0.5,11.8,2,19.7,1.3,11.7,6.8,9.8,59.1,60.4,15,99.95,7.2,"1,419"
Luke Kornet,2020,CHI,0,25,10,5,5,8.3,2.6,0.9,2.6,34.6,0.6,2.2,27.3,0.2,0.2,100,0.1,1.4,1.5,0.4,0.1,0.2,0.6,0.1,7.3,0,0,2.5,101.6,92.7,9,6.5,4,12.5,1.2,16.1,8.8,3.1,46.2,48.4,13.7,105.39,9.8,186
Malachi Flynn,2020,TOR,0,22,15,11,4,8.4,2.2,0.8,3,26.7,0.3,1.7,19.2,0.3,0.4,66.7,0.1,0.7,0.7,1.1,0.3,0.3,0,0.8,5.2,0,0,-2.2,94.9,108.4,-13.5,20.5,4,23.9,0.7,8.1,4,6,32.2,34.6,15.8,105.31,2.6,277
Malcolm Brogdon,2020,IND,0,28,34,16,18,35.6,21.2,8.1,18.1,44.7,2.4,6.4,37.8,2.6,2.9,89.7,0.8,3.9,4.6,6.2,2.1,1.2,0.2,1.9,38.3,2,0,-0.5,110.9,111.7,-0.8,27.6,2.99,22.7,2.2,10.9,6.5,7.6,51.4,54.6,25.7,99.71,12.3,"2,518"
Malik Beasley,2020,MIN,0,24,33,7,26,33.1,20.5,7.6,16.7,45.5,3.5,8.7,40.6,1.8,2.2,84.7,0.8,3.8,4.6,2.5,1.6,0.8,0.2,1.6,31.1,0,0,-4.3,108.7,114.2,-5.5,11.7,1.5,11.4,2.2,11.7,6.7,7.6,56,58.2,23.9,102.38,10.9,"2,324"
Malik Monk,2020,CHA,0,23,22,10,12,22.7,13.5,4.7,10.1,46.2,2.5,5.6,43.9,1.7,2.1,78.7,0.4,2.5,2.9,1.9,1.5,0.3,0.1,1.5,19.3,0,0,1.9,111.1,108.2,2.9,12.5,1.24,12.9,1.5,10.8,6.1,10.4,58.3,60.9,22.6,104.27,9.8,"1,089"
Marc Gasol,2020,LAL,0,36,35,24,11,20.1,4.8,1.5,3.8,40.3,0.9,2.4,36.5,0.8,1,80.6,0.7,3.4,4.1,2,0.9,0.5,1.3,2.3,17.1,0,0,2.1,111.3,106.1,5.2,12.3,2.3,27.9,3.7,16,10.1,12.1,51.9,56.1,11,100.11,7.1,"1,464"
Marcus Morris Sr.,2020,LAC,0,31,28,18,10,24.4,12.3,4.3,9.8,44,2.3,5,46.4,1.4,1.5,90.5,0.7,3.1,3.8,0.9,0.9,0.5,0.3,1.9,19.8,0,0,0.4,115.7,115.4,0.4,5.4,1,7.3,2.9,12.5,7.8,7.3,55.8,58.8,19.4,100.56,8.5,"1,435"
Marcus Smart,2020,BOS,0,27,17,9,8,32.3,13.1,4.4,11.1,39.4,1.6,5.3,31.1,2.7,3.6,74.2,0.4,2.4,2.8,6.1,1.8,1.8,0.5,2.3,30.8,2,0,-0.2,109.3,109.5,-0.2,25.6,3.43,29.5,1.2,7.5,4.2,8.6,46.8,51.6,18.7,101.34,9.3,"1,159"
Markelle Fultz,2020,ORL,0,22,8,6,2,26.9,12.9,5.1,13,39.4,0.5,2,25,2.1,2.4,89.5,0.6,2.5,3.1,5.4,2.3,1,0.3,2.3,26.2,1,0,-3.6,107.1,113.6,-6.5,29.3,2.39,25,2.1,9.5,5.6,10.5,41.3,45.8,25,103.16,8.1,463
Markieff Morris,2020,LAL,0,31,31,18,13,17.4,5.4,1.9,4.7,40.7,0.9,2.8,32.2,0.6,0.9,69,0.7,3.1,3.8,1,0.6,0.2,0.3,1.6,12.3,0,0,0.9,106.8,104.6,2.2,8,1.72,15.1,3.9,16.2,10.2,8.8,50.3,52.6,13.7,100.54,7.3,"1,132"
Markus Howard,2020,DEN,0,22,17,10,7,3.2,0.9,0.4,1.8,19.4,0.2,1.3,13.6,0.1,0.1,50,0,0.3,0.3,0.4,0.2,0.1,0,0.4,1.9,0,0,-2.5,79.3,112.8,-33.5,17.1,1.5,14.3,0,8.6,4,9.5,24.2,25.1,24.2,117.11,-3.4,135
Marques Bolden,2020,CLE,0,22,6,2,4,4.8,1.2,0.2,0.5,33.3,0,0,0,0.8,1.3,62.5,0.5,0.5,1,0,0.3,0.3,0.3,0,4,0,0,0.8,82.8,70.5,12.3,0,0,0,8.3,8.8,8.6,22.2,33.3,53.7,13.6,99.74,11.5,58
Marquese Chriss,2020,GSW,0,23,2,0,2,13.4,6.5,2.5,7,35.7,0.5,2.5,20,1,2,50,1.5,5,6.5,1,1,0,1,1.5,17.8,0,0,-12.5,79,119.4,-40.3,20,1,10,7.5,38.5,19.7,10,39.3,41.2,25,111.39,11,62
Marvin Bagley III,2020,SAC,0,22,34,14,20,26.1,14.1,5.7,11.5,50,1,2.7,37,1.6,3,52.9,2.4,5.1,7.6,1,1.4,0.5,0.5,2.4,26.2,10,0,-3.5,113.5,119.6,-6.1,5.4,0.7,6.4,8.9,20.2,14.3,9.1,54.4,55,22.7,101.28,9.5,"1,871"
Mason Jones,2020,HOU,0,22,22,7,15,11.1,5.5,1.7,4,43.7,0.8,2.2,36.7,1.3,2,65.1,0.2,1.9,2.1,1.3,1.2,0.3,0,1,9.7,0,0,-3.6,97.8,109.9,-12.1,19.7,1.12,18,1.4,16.7,8.7,16.1,54,57.6,21.7,107.61,9.1,542
Mason Plumlee,2020,DET,0,31,34,9,25,28,10.4,4.3,7,60.7,0,0.2,0,1.9,2.8,67.4,2.8,6.4,9.1,3.8,2.1,0.8,0.9,3.5,30,9,2,-3.4,108.5,114.1,-5.6,20.7,1.81,26.9,9.5,24.3,16.6,14.9,60.7,63,16.1,98.33,12.1,"1,950"
Matisse Thybulle,2020,PHI,0,24,33,23,10,18.1,3.1,1.2,3.2,36.8,0.5,2,26.2,0.2,0.4,57.1,0.4,1.1,1.5,0.9,0.4,1.4,0.9,2,12.8,0,0,0.1,107,105.6,1.4,7,2.38,19.9,2,5.8,3.9,8.3,44.8,45.9,8.5,103.8,3.8,"1,282"
Matt Thomas,2020,TOR,0,26,21,12,9,6.9,2.5,0.9,2.2,39.1,0.6,1.5,38.7,0.2,0.3,83.3,0,0.6,0.7,0.4,0.2,0.1,0,0.4,4,0,0,-1.6,101.9,114.1,-12.2,9.5,1.8,14.5,0.7,9.2,4.9,8.1,52.2,54.5,15.2,103.28,6.1,315
Maurice Harkless,2020,MIA,0,27,10,4,6,10.9,1.2,0.4,1,40,0.4,0.8,50,0,0.2,0,0.1,0.8,0.9,0.7,0.2,0.2,0.3,1.2,4.6,0,0,-3.5,96.2,111,-14.8,8.9,3.5,35,1,7.1,4.2,10,60,55.1,5.1,104.24,2.2,237
Max Strus,2020,MIA,0,24,19,6,13,14.9,7.1,2.5,5.4,45.6,1.6,4.5,36.5,0.5,0.7,71.4,0.1,0.9,1.1,0.5,0.2,0.2,0,1.3,9.5,0,0,-2.3,103.7,111,-7.3,6,3.33,8.2,0.8,6.3,3.8,2.5,60.7,61.8,17.4,100.15,7.2,589
Maxi Kleber,2020,DAL,0,29,22,14,8,25.9,7,2.2,5,44,1.7,3.7,45.1,1,1,95.7,0.9,4.5,5.3,1.4,0.5,0.5,0.9,2.3,19,0,0,2.2,111.1,107.6,3.5,6.9,2.5,18.5,3.4,16.4,10.1,7.4,61,65.1,9.8,102.79,8.1,"1,222"
Meyers Leonard,2020,OKC,0,29,3,2,1,9.8,3.3,1,2.3,42.9,1,2.3,42.9,0.3,0.7,50,0,2.3,2.3,0.7,0.7,0,0,1.7,6.5,0,0,-1.3,103.3,104.8,-1.4,10.5,1,16.7,0,24.1,11.9,16.7,64.3,63.5,15.2,100.45,6.7,60
Mfiondu Kabengele,2020,LAC,0,23,20,16,4,4.1,1,0.4,1.3,26.9,0.2,0.8,20,0.2,0.2,75,0.1,0.5,0.6,0.3,0.3,0.1,0.2,0.7,2.5,0,0,-0.4,86,91.2,-5.1,9.8,1,13.2,1.2,10.2,6.1,13.2,32.7,36,17.6,101.17,0,172
Michael Carter-Williams,2020,ORL,0,29,17,9,8,26.4,9,3.4,8.5,40.3,0.5,1.8,25.8,1.7,2.2,76.3,1.6,3.2,4.8,4.1,1.9,0.6,0.5,2.9,22.4,0,0,2.1,107.2,103.8,3.4,22.1,2.19,26.8,5.4,12.1,8.6,12.3,43.1,47.6,17.9,103.03,6.8,966
